Country,Continent,Population,Percent Evangelical,Percent Christian Adherent,Percent Unreached,Primary Religion,Unreached People Groups
Afghanistan,Asia,43595000,0.0,0.0,100.0,Islam,58
Albania,Europe,2721000,0.6,33.7,20.0,Islam,2
Algeria,Africa,47390000,0.0,0.1,91.9,Islam,34
American Samoa,Oceania,45000,25.3,95.4,22.2,Christianity,2
Andorra,Europe,82000,1.4,90.6,22.2,Christianity,2
Angola,Africa,38792000,23.3,91.1,8.3,Christianity,5
Anguilla,North America,15000,34.6,90.6,0.0,Christianity,0
Antigua and Barbuda,North America,92000,25.1,92.9,0.0,Christianity,0
Argentina,Latin America,45455000,11.1,93.0,2.6,Christianity,2
Armenia,Europe,2899000,9.3,92.2,30.0,Christianity,3
Aruba,North America,106000,9.9,95.5,11.1,Christianity,1
Australia,Oceania,26864000,13.7,52.1,18.5,Christianity,38
Austria,Europe,9063000,0.6,67.4,28.3,Christianity,13
Azerbaijan,Asia,10272000,0.2,2.2,73.5,Islam,25
Bahamas,North America,398000,40.1,94.5,0.0,Christianity,0
Bahrain,Asia,1603000,2.3,8.7,52.6,Islam,10
Bangladesh,Asia,174343000,0.0,0.5,92.1,Islam,256
Barbados,North America,278000,34.2,92.6,25.0,Christianity,1
Belarus,Europe,8928000,1.7,69.0,31.3,Christianity,5
Belgium,Europe,11601000,1.4,64.2,46.3,Christianity,25
Belize,North America,408000,24.2,86.4,15.4,Christianity,2
Benin,Africa,14608000,7.5,31.4,17.7,Ethnic Religions,11
Bermuda,North America,63000,26.8,91.7,0.0,Christianity,0
Bhutan,Asia,780000,0.0,0.2,98.1,Buddhism,51
Bolivia,Latin America,12456000,19.4,91.8,4.7,Christianity,2
Bosnia-Herzegovina,Europe,3091000,0.1,40.7,37.5,Islam,3
Botswana,Africa,2505000,8.3,65.4,2.2,Christianity,1
Brazil,Latin America,212153000,25.2,89.9,16.2,Christianity,52
British Indian Ocean Territory,Asia,3400,33.8,79.6,0.0,Christianity,0
British Virgin Islands,North America,39000,29.2,90.8,0.0,Christianity,0
Brunei,Asia,459000,4.2,8.2,37.5,Islam,9
Bulgaria,Europe,6617000,2.0,82.2,31.3,Christianity,5
Burkina Faso,Africa,23859000,10.7,21.1,35.1,Islam,27
Burundi,Africa,14214000,30.5,93.1,16.7,Christianity,1
Cambodia,Asia,17753000,1.4,3.3,42.1,Buddhism,16
Cameroon,Africa,29719000,8.6,50.2,6.2,Christianity,18
Canada,North America,39933000,7.6,70.6,21.4,Christianity,52
Cape Verde,Africa,510000,8.2,84.3,40.0,Christianity,2
Cayman Islands,North America,75000,21.4,82.0,0.0,Christianity,0
Central African Republic,Africa,5447000,32.2,71.0,8.8,Christianity,7
Chad,Africa,20853000,7.3,25.3,57.4,Islam,81
Chile,Latin America,19749000,23.1,87.1,9.1,Christianity,2
China,Asia,1397676000,7.6,9.2,80.8,Non-Religious,442
China Hong Kong,Asia,7340000,6.1,13.1,42.1,Ethnic Religions,8
China Macau,Asia,711000,1.9,7.9,33.3,Ethnic Religions,3
Christmas Island,Oceania,1600,2.2,14.9,50.0,Islam,2
Cocos (Keeling) Islands,Oceania,600,2.7,18.8,50.0,Islam,1
Colombia,Latin America,53291000,10.8,93.3,12.5,Christianity,15
Comoros,Africa,858000,0.7,1.6,71.4,Islam,5
Congo Democratic Republic,Africa,111944000,19.3,91.1,1.7,Christianity,4
Congo Republic of the,Africa,6411000,14.8,84.8,4.2,Christianity,3
Cook Islands,Oceania,13000,13.5,97.3,12.5,Christianity,1
Costa Rica,North America,5101000,18.5,95.4,10.5,Christianity,2
Cote d'Ivoire,Africa,32161000,12.7,37.1,30.5,Islam,32
Croatia,Europe,3770000,0.4,92.3,17.6,Christianity,3
Cuba,North America,10819000,11.4,56.0,20.0,Christianity,2
Curacao,North America,182000,6.9,85.8,18.8,Christianity,3
Cyprus,Europe,1330000,1.7,71.2,14.3,Christianity,3
Czechia,Europe,10452000,0.7,27.9,12.5,Non-Religious,2
Denmark,Europe,5870000,3.6,81.5,38.0,Christianity,19
Djibouti,Africa,1146000,0.1,2.2,71.4,Islam,5
Dominica,North America,63000,18.1,91.8,28.6,Christianity,2
Dominican Republic,North America,11400000,10.9,93.6,10.0,Christianity,1
Ecuador,Latin America,18169000,10.6,93.5,3.0,Christianity,1
